dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_648_img_.png,75,28.616074160457664,0.9498310726187811,,56.714125206967154
dataset2,uieb_648_img_.png,100,28.613191334278763,0.945456057007773,,56.37580078718605
dataset2,uieb_654_img_.png,25,27.84013791373154,0.8623716346987848,,58.44717578932429
dataset2,uieb_654_img_.png,50,27.85094585033295,0.873909625251141,,58.41290439740532
dataset2,uieb_654_img_.png,75,27.849811812104406,0.8826531791553022,,58.56898760725447
dataset2,uieb_654_img_.png,100,27.849184897121454,0.8897838687128833,,58.458181494473145
dataset2,uieb_657_img_.png,25,27.74009322125068,0.9385415435134539,,41.755398260756195
dataset2,uieb_657_img_.png,50,27.732676358885392,0.9386861912638851,,41.75171682095969
dataset2,uieb_657_img_.png,75,27.738328390477122,0.9396569395123908,,41.79246684062345
dataset2,uieb_657_img_.png,100,27.745625305498468,0.9410393143318251,,41.40853909113061
dataset2,uieb_674_img_.png,25,29.277971719972456,0.9509878844224977,,36.21871921305094
dataset2,uieb_674_img_.png,50,29.285605004218258,0.9464019693657914,,36.18111369189189
dataset2,uieb_674_img_.png,75,29.28207733411437,0.9447846658093858,,36.08762406925528
dataset2,uieb_674_img_.png,100,29.2816395155157,0.9434080317296292,,35.61561224444663
