dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE,time
dataset2,uieb_772_img_.png,processed,28.01758104322065,0.9230198613822543,34.35234740998814,35.31724978645312,0.013911247253417969
dataset2,uieb_775_img_.png,processed,28.107475985902205,0.8843643110022316,35.98221777623391,19.906145046924046,0.011554241180419922
dataset2,uieb_786_img_.png,processed,27.854506216352064,0.9037521492531546,36.476236080879715,37.827852454756005,0.0065021514892578125
dataset2,uieb_7916.png,processed,28.21583815331254,0.9329261278431071,14.787345808644858,56.05232723584942,0.0029938220977783203
dataset2,uieb_791_img_.png,processed,28.420530383775322,0.9144041378934349,36.75494958198371,40.19040866000217,0.0029451847076416016
dataset2,uieb_80_img_.png,processed,28.049547833984462,0.8657306596404667,19.369279871407997,14.066984259436843,0.0010008811950683594
dataset2,uieb_818_img_.png,processed,27.943490149197928,0.9131124802689736,41.87287368442114,42.11787261692596,0.014006853103637695
dataset2,uieb_8288.png,processed,27.61798439228817,0.8585133340143469,21.258299266405373,38.32497689822228,0.0039997100830078125
dataset2,uieb_832_img_.png,processed,27.98644783383193,0.871345511423179,16.96626577970639,15.20319459080163,0.009985685348510742
dataset2,uieb_834_img_.png,processed,27.96722863821944,0.91312187627244,65.14299721736344,41.69529045446537,0.005006074905395508
dataset2,uieb_841.png,processed,28.040164120474877,0.8711902597115879,52.947104338157004,52.78800020970541,0.004994392395019531
dataset2,uieb_843_img_.png,processed,27.80591213568861,0.8280127234307584,29.154620715399886,25.900141741815872,0.0019559860229492188
dataset2,uieb_847_img_.png,processed,27.93855083751911,0.9091348063016053,11.77472417880901,46.11964089576772,0.0009806156158447266
dataset2,uieb_856_img_.png,processed,28.282698024843423,0.8793421942923829,14.514644265420173,10.036569236820952,0.0009608268737792969
dataset2,uieb_862_img_.png,processed,28.003711067386284,0.9012925258907707,14.258717500852725,13.02533241997424,0.0073239803314208984
dataset2,uieb_871_img_.png,processed,28.113029988427563,0.9284292014909113,42.878455068307375,17.42206614879933,0.00600123405456543
dataset2,uieb_874_img_.png,processed,28.167009888793867,0.8933479436103455,25.982568358891257,60.60685691089169,0.006001472473144531
dataset2,uieb_887_img_.png,processed,28.01518459070018,0.8865041465681185,7.840062328910079,4.178206108950107,0.0010924339294433594
dataset2,uieb_893_img_.png,processed,28.080034382454624,0.9369571074473082,10.41455447016753,35.316296154040074,0.0009996891021728516
dataset2,uieb_908_img_.png,processed,27.936361739088774,0.7895132980219481,34.83108763379525,42.09917025059451,0.004117250442504883
dataset2,uieb_9554.png,processed,27.985164601985637,0.934371270127618,18.951755304021134,21.55827244782958,0.004002809524536133
dataset2,uieb_97_img_.png,processed,28.095758766631054,0.8218935559569766,8.65687576296179,31.221816968008582,0.002452850341796875
dataset2,uieb_9896.png,processed,27.769036057694237,0.9673223548203566,21.567672661168416,28.804419840054464,0.00099945068359375
dataset2,uieb_98_img_.png,processed,27.9486144422015,0.9270882311934258,11.670287523075984,44.40047153816079,0.0010144710540771484
